short_name,long_name,sofifa_id,age,dob,nationality,height_cm,body_type,weight_kg,club,player_url,overall_potential,value_eur,wage_eur,work_rate,team_position,team_jersey_number,shooting,passing,dribbling,defending,player_traits,attacking_short_passing,skill_dribbling,skill_long_passing,skill_ball_control,power_shot_power,power_strength,power_long_shots,defending_standing_tackle,defending_sliding_tackle
A. Acosta,Alberto Joshimar Acosta Alvarado,198740,31,2/26/88,Mexico,169,Normal,71,FC Juárez,https://sofifa.com/player/198740/alberto-acosta/20/159586,66,475000,5000,High/High,LB,26,58,67,71,64,Dives Into Tackles (CPU AI Only),66,71,67,71,60,64,67,65,66
A. Adam,Abdulfatah Adam,242312,24,1/1/95,Saudi Arabia,178,Lean,72,Al Nassr,https://sofifa.com/player/242312/abdulfatah-adam/20/159586,66,925000,10000,High/Low,SUB,12,66,48,65,19,Not Provided,57,65,34,63,66,66,59,11,11
A. Addai,Alex Addai,210330,25,12/20/93,England,178,Normal,74,Cheltenham Town,https://sofifa.com/player/210330/alex-addai/20/159586,56,120000,2000,Medium/Medium,SUB,16,54,44,55,26,Not Provided,48,56,32,52,55,56,47,21,20
A. Ademi,Arijan Ademi,216350,28,5/29/91,FYR Macedonia,185,Normal,79,Dinamo Zagreb,https://sofifa.com/player/216350/arijan-ademi/20/159586,75,6000000,1000,High/High,RCM,5,60,64,66,73,"Avoids Using Weaker Foot, Giant Throw-in",76,70,72,69,68,81,58,74,69
A. Adomah,Albert Danquah Adomah,186783,31,12/13/87,Ghana,182,Lean,74,Nottingham Forest,https://sofifa.com/player/186783/albert-adomah/20/159586,72,2700000,30000,Medium/Medium,LM,37,69,67,71,54,Early Crosser,67,71,63,73,71,67,64,60,38
A. Adouyev,Amir Adouyev,244477,20,5/11/99,Russia,181,Lean,66,Montpellier HSC,https://sofifa.com/player/244477/amir-adouyev/20/159586,62,675000,4000,Medium/Medium,RES,29,54,59,71,47,Not Provided,62,72,64,69,61,64,43,47,49
A. Aguerre,Alan Aguerre,215123,28,8/23/90,Argentina,181,Normal,80,Newell's Old Boys,https://sofifa.com/player/215123/alan-aguerre/20/159586,76,7000000,15000,Medium/Medium,GK,1,0,0,0,0,Not Provided,27,17,23,19,47,62,14,19,12
A. Aguilar,Alfredo Aguilar,228231,30,7/18/88,Paraguay,185,Normal,79,Paraguay,https://sofifa.com/player/228231/alfredo-aguilar/20/159586,69,0,0,Medium/Medium,,null,0,0,0,0,Not Provided,25,16,23,20,48,80,19,15,19
A. Aguilar,Abel Enrique Aguilar Tapia,177974,34,1/6/85,Colombia,187,Normal,88,Unión Magdalena,https://sofifa.com/player/177974/abel-aguilar/20/159586,74,2200000,2000,Medium/High,RDM,14,61,67,64,74,Power Free-Kick,73,65,69,68,69,87,60,78,61
A. Aguilmera,Alexander Aguilmera,251692,33,10/27/85,Ecuador,194,Lean,83,Ecuador,https://sofifa.com/player/251692/alexander-aguilmera/20/159586,76,0,0,Medium/High,,null,47,54,49,76,"Power Free-Kick, Injury Prone",64,45,51,60,70,89,42,78,80
A. Aguirre,Abel Aguirre,252050,22,10/6/96,Mexico,181,Lean,67,Club Necaxa,https://sofifa.com/player/252050/abel-aguirre/20/159586,56,140000,2000,Medium/Medium,RES,14,40,57,54,48,Not Provided,63,52,64,57,60,44,39,49,58
A. Ahl Holmström,Alexander Ahl Holmström,246151,20,4/4/99,Sweden,191,Normal,82,Kalmar FF,https://sofifa.com/player/246151/alexander-ahl-holmstrom/20/159586,56,200000,1000,Medium/Medium,RES,22,56,38,48,26,Not Provided,45,39,32,58,56,75,56,30,18
A. Ahmedhodzic,Anel Ahmedhodzic,236524,20,3/26/99,Sweden,190,Lean,75,Hobro IK,https://sofifa.com/player/236524/anel-ahmedhodzic/20/159586,57,190000,1000,Low/High,RCB,5,21,39,49,54,Not Provided,50,46,41,52,28,73,17,57,52
A. Aidonis,Antonis Aidonis,246328,18,5/22/01,Germany,181,Normal,76,VfB Stuttgart,https://sofifa.com/player/246328/antonis-aidonis/20/159586,61,475000,1000,Medium/Medium,RES,26,31,38,44,61,Not Provided,40,38,43,42,48,64,25,64,63
A. Ajagun,Abdul Ajagun,220035,26,2/10/93,Nigeria,168,Normal,65,KV Kortrijk,https://sofifa.com/player/220035/abdul-ajagun/20/159586,68,1100000,6000,Medium/Medium,CAM,8,69,58,70,20,"Argues with Officials, Early Crosser",64,68,58,68,73,55,70,14,18
A. Ajdarevic,Astrit Ajdarevic,193029,29,4/17/90,Albania,190,Normal,85,Djurgårdens IF,https://sofifa.com/player/193029/astrit-ajdarevic/20/159586,70,1700000,4000,Medium/Low,LCM,10,66,74,70,50,"Argues with Officials, Finesse Shot",73,73,76,76,84,79,70,49,39
A. Ajeti,Adonis Ajeti,239427,22,2/26/97,Switzerland,186,Normal,82,FC St. Gallen,https://sofifa.com/player/239427/adonis-ajeti/20/159586,54,90000,2000,Medium/Medium,SUB,22,27,26,30,53,Not Provided,31,25,29,30,42,66,22,57,59
A. Ajeti,Albian Ajeti,222352,22,2/26/97,Switzerland,183,Normal,78,West Ham United,https://sofifa.com/player/222352/albian-ajeti/20/159586,74,8500000,56000,High/Medium,SUB,27,72,60,69,29,Not Provided,62,69,57,70,77,79,60,19,17
A. Akbulut,Arda Akbulut,240809,18,1/1/01,Turkey,192,Lean,79,Trabzonspor,https://sofifa.com/player/240809/arda-akbulut/20/159586,63,625000,1000,Medium/Medium,RES,13,0,0,0,0,Not Provided,23,13,27,14,44,63,11,11,9
A. Akinfenwa,Adebayo Akinfenwa,156321,37,5/10/82,England,178,Akinfenwa,110,Wycombe Wanderers,https://sofifa.com/player/156321/adebayo-akinfenwa/20/159586,65,190000,2000,Low/Low,ST,20,63,54,56,35,"Diver, Long Passer (CPU AI Only)",60,52,51,67,70,97,54,40,24
A. Akinola,Ayo Akinola,241394,19,1/20/00,United States,178,Stocky,82,Toronto FC,https://sofifa.com/player/241394/ayo-akinola/20/159586,61,550000,1000,High/Medium,SUB,20,55,47,63,20,Not Provided,54,63,43,61,53,80,53,19,13
A. Akkaynak,Atakan Akkaynak,236996,20,1/5/99,Germany,180,Normal,77,Çaykur Rizespor,https://sofifa.com/player/236996/atakan-akkaynak/20/159586,64,800000,3000,Medium/Medium,SUB,8,51,62,65,57,Leadership,69,63,66,65,59,68,54,55,47
A. Aksungur,Asim Aksungur,248851,18,10/8/00,Turkey,175,Lean,72,Denizlispor,https://sofifa.com/player/248851/asim-aksungur/20/159586,48,60000,1000,Medium/Medium,SUB,40,33,47,48,46,Not Provided,58,47,47,42,49,50,30,51,45
A. Aktas,Aksel Aktas,236468,19,7/15/99,Turkey,177,Lean,70,Kayserispor,https://sofifa.com/player/236468/aksel-aktas/20/159586,56,190000,1000,Medium/Low,RES,19,47,57,55,41,Not Provided,64,52,60,60,53,47,37,45,47
A. Al Ammar,Abdullah Al Ammar,225600,25,3/1/94,Saudi Arabia,177,Lean,72,Al Ittihad,https://sofifa.com/player/225600/abdullah-al-ammar/20/159586,62,350000,6000,High/Medium,SUB,2,56,61,64,56,Not Provided,66,61,62,64,59,64,49,62,54
A. Al Amri,Abdulelah Al Amri,241197,22,1/15/97,Saudi Arabia,185,Normal,73,Al Nassr,https://sofifa.com/player/241197/abdulelah-al-amri/20/159586,62,450000,5000,Medium/Medium,SUB,55,26,43,39,62,Not Provided,54,33,48,40,40,72,22,64,62
A. Al Aryani,Abdulaziz Al Aryani,235975,23,3/13/96,Saudi Arabia,173,Normal,77,Al Ittihad,https://sofifa.com/player/235975/abdulaziz-al-aryani/20/159586,59,240000,5000,Medium/Low,RES,26,57,46,62,33,Not Provided,47,62,47,60,55,66,49,16,13
A. Al Asmari,Ali Hassan Al Asmari,240600,22,1/12/97,Saudi Arabia,185,Lean,74,Al Ahli,https://sofifa.com/player/240600/ali-hassan-al-asmari/20/159586,60,350000,5000,Medium/Medium,SUB,80,54,57,61,54,Not Provided,61,60,58,64,62,77,57,52,54
A. Al Bahri,Abdullah Al Bahri,245085,24,3/16/95,Saudi Arabia,184,Lean,75,Ettifaq FC,https://sofifa.com/player/245085/abdullah-al-bahri/20/159586,56,100000,3000,Medium/Medium,SUB,22,0,0,0,0,Not Provided,25,8,27,13,38,44,12,13,11
A. Al Barakah,Abdulrahman Al Barakah,210924,28,9/21/90,Saudi Arabia,175,Normal,69,Al Fayha,https://sofifa.com/player/210924/abdulrahman-al-barakah/20/159586,64,400000,5000,Medium/Medium,SUB,16,45,55,61,61,Not Provided,65,60,62,62,51,71,48,64,62
A. Al Bishi,Abdulaziz Ali Al Bishi,221772,25,3/11/94,Saudi Arabia,173,Normal,73,Al Ittihad,https://sofifa.com/player/221772/abdulaziz-al-bishi/20/159586,65,675000,9000,High/Low,SUB,77,55,58,67,27,Early Crosser,57,66,56,64,61,65,49,26,31
A. Al Bulayhi,Ali Al Bulayhi,229851,29,11/21/89,Saudi Arabia,182,Normal,83,Al Hilal,https://sofifa.com/player/229851/ali-al-bulayhi/20/159586,70,1500000,19000,Medium/High,LCB,5,28,37,43,69,Not Provided,50,34,30,50,37,79,25,72,69
A. Al Dawsari,Abdulrahman Al Dawsari,232904,21,9/25/97,Saudi Arabia,178,Normal,69,Al Nassr,https://sofifa.com/player/232904/abdulrahman-al-dawsari/20/159586,59,230000,4000,Medium/Medium,SUB,39,37,54,57,54,Not Provided,65,53,56,58,46,64,45,57,53
A. Al Dohaim,Amaar Ali Al Dohaim,220356,25,8/31/93,Saudi Arabia,182,Normal,75,Al Ittihad,https://sofifa.com/player/220356/amaar-ali-al-dohaim/20/159586,63,425000,6000,Medium/Medium,SUB,24,41,45,48,61,Not Provided,48,39,43,55,38,76,44,63,64
A. Al Fahad,Abdullah Al Fahad,210898,25,6/15/94,Saudi Arabia,176,Normal,73,Al Raed,https://sofifa.com/player/210898/abdullah-al-fahad/20/159586,63,425000,4000,Medium/High,RB,19,52,49,49,61,Not Provided,57,43,58,46,53,80,52,62,57
A. Al Faraj,Awadh Khamis Al Faraj,209223,30,7/15/88,Saudi Arabia,172,Normal,68,Al Nassr,https://sofifa.com/player/209223/awadh-khamis-al-faraj/20/159586,66,525000,10000,Medium/Medium,SUB,27,51,61,67,60,Not Provided,67,65,63,68,55,64,58,64,58
A. Al Fiqi,Ahmed Al Fiqi,242060,26,12/31/92,Saudi Arabia,176,Normal,66,Al Hilal,https://sofifa.com/player/242060/ahmed-al-fiqi/20/159586,61,270000,6000,Medium/Low,RES,15,47,56,63,38,Not Provided,58,64,55,60,53,55,35,31,26
A. Al Ghamdi,Abdulrahman Al Ghamdi,213009,24,11/1/94,Saudi Arabia,175,Normal,70,Al Ittihad,https://sofifa.com/player/213009/abdulrahman-al-ghamdi/20/159586,65,725000,8000,High/Low,SUB,49,66,60,67,37,"Injury Free, Beat Offside Trap",62,65,53,67,68,73,70,15,20
A. Al Habib,Ahmad Al Habib,225198,26,1/2/93,Saudi Arabia,187,Normal,84,Abha Club,https://sofifa.com/player/225198/ahmad-al-habib/20/159586,63,400000,4000,Low/Medium,LCB,66,31,36,50,62,Not Provided,41,49,29,46,28,76,25,65,64
A. Al Hafith,Abdullah Fareed Al Hafith,207716,26,12/25/92,Saudi Arabia,186,Lean,77,Al Hilal,https://sofifa.com/player/207716/abdullah-al-hafith/20/159586,65,625000,8000,Medium/High,SUB,17,36,49,42,63,Not Provided,60,32,61,49,37,78,39,62,61
A. Al Hamdan,Abdullah Al Hamdan,242223,19,9/12/99,Saudi Arabia,185,Lean,77,Al Shabab,https://sofifa.com/player/242223/abdullah-al-hamdan/20/159586,60,450000,3000,Medium/Medium,SUB,9,58,41,57,19,Not Provided,52,55,34,58,56,69,54,17,12
A. Al Hassan,Ali Al Hassan,242863,23,3/4/96,Saudi Arabia,182,Lean,67,Al Fateh,https://sofifa.com/player/242863/ali-al-hassan/20/159586,56,130000,4000,Medium/Medium,SUB,6,42,53,55,49,Not Provided,62,53,53,55,50,63,42,51,48
A. Al Hejaili,Ayman Al Hejaili,251659,21,7/15/97,Saudi Arabia,165,Lean,60,Damac FC,https://sofifa.com/player/251659/ayman-al-hejaili/20/159586,58,190000,3000,Medium/Medium,SUB,28,43,52,59,33,Not Provided,55,58,49,57,44,40,36,34,36
A. Al Hidhani,Ali Al Hidhani,247059,21,1/7/98,United Arab Emirates,172,Normal,67,Al Ain FC,https://sofifa.com/player/247059/ali-al-hidhani/20/159586,56,120000,1000,High/Medium,SUB,2,33,45,55,52,Not Provided,49,53,38,50,35,50,29,55,54
A. Al Humayan,Abdullah Al Humayan,250820,30,7/24/88,Saudi Arabia,179,Lean,70,Al Adalah,https://sofifa.com/player/250820/abdullah-al-humayan/20/159586,59,140000,3000,Medium/Medium,SUB,15,39,57,59,56,Not Provided,63,58,58,60,46,58,42,58,56
A. Al Jadani,Abdullah Al Jadani,212038,28,3/6/91,Saudi Arabia,180,Normal,67,Al Wehda,https://sofifa.com/player/212038/abdullah-al-jadani/20/159586,62,250000,4000,Medium/Medium,SUB,33,0,0,0,0,Not Provided,33,15,28,18,42,49,14,16,15
A. Al Jebreen,Abdulaziz Al Jebreen,210492,29,4/19/90,Saudi Arabia,179,Normal,73,Al Nassr,https://sofifa.com/player/210492/abdulaziz-al-jebreen/20/159586,68,775000,14000,Medium/Medium,SUB,16,66,68,65,62,Leadership,71,64,68,69,63,75,68,64,61
A. Al Joui,Abdullah Al Joui,237667,24,3/2/95,Saudi Arabia,171,Lean,67,Al Taawoun,https://sofifa.com/player/237667/abdullah-al-joui/20/159586,62,425000,4000,Medium/Medium,SUB,29,51,58,63,24,Not Provided,60,59,51,64,54,41,48,25,24
A. Al Kassar,Ahmed Ali Al Kassar,209027,28,5/8/91,Saudi Arabia,177,Normal,76,Al Faisaly,https://sofifa.com/player/209027/ahmed-ali-al-kassar/20/159586,63,270000,4000,Medium/Medium,SUB,28,0,0,0,0,Second Wind,23,19,16,17,42,56,20,14,17
A. Al Khaibari,Abdullah Al Khaibari,237721,22,8/16/96,Saudi Arabia,175,Lean,66,Al Nassr,https://sofifa.com/player/237721/abdullah-al-khaibari/20/159586,66,875000,8000,Medium/Medium,LDM,17,43,59,62,63,Not Provided,66,58,61,65,57,75,47,67,61
A. Al Khaibari,Abdulmalek Abdullah Al Khaibri,191843,33,3/13/86,Saudi Arabia,177,Lean,73,Al Shabab,https://sofifa.com/player/191843/abdulmalek-al-khaibari/20/159586,67,375000,10000,Low/High,CDM,6,45,53,58,68,Injury Prone,65,53,64,62,65,72,48,68,67
A. Al Khaibari,Ali Nasser Al Khaibari,215971,29,7/9/89,Saudi Arabia,180,Normal,77,Ettifaq FC,https://sofifa.com/player/215971/ali-nasser-al-khaibari/20/159586,62,260000,5000,Medium/High,SUB,34,40,38,40,59,Not Provided,43,27,26,52,57,79,62,60,59
A. Al Khamis,Abdullah Al Khamis,252035,24,2/6/95,Saudi Arabia,177,Normal,67,Al Adalah,https://sofifa.com/player/252035/abdullah-al-khamis/20/159586,56,110000,3000,Medium/Medium,RES,17,34,51,53,54,Not Provided,57,50,50,53,41,56,35,56,55
A. Al Khulaif,Ayman Al Khulaif,238234,22,5/22/97,Saudi Arabia,166,Lean,60,Al Wehda,https://sofifa.com/player/238234/ayman-al-khulaif/20/159586,61,400000,4000,High/Medium,SUB,24,48,53,67,22,Not Provided,53,65,48,64,50,29,49,25,22
A. Al Malki,Abdulelah Al Malki,230713,24,10/11/94,Saudi Arabia,176,Lean,69,Al Ittihad,https://sofifa.com/player/230713/abdulelah-al-malki/20/159586,64,525000,6000,Medium/Medium,LCM,15,52,60,63,61,Not Provided,65,62,60,65,64,68,51,62,61
A. Al Mayoof,Abdullah Al Mayoof,210140,32,1/23/87,Saudi Arabia,189,Normal,96,Al Hilal,https://sofifa.com/player/210140/abdullah-al-mayoof/20/159586,67,475000,9000,Medium/Medium,GK,1,0,0,0,0,Not Provided,28,19,39,15,50,73,14,18,18
A. Al Mazaidi,Ali Ibrahim Al Mazyadi,191437,33,9/24/85,Saudi Arabia,190,Normal,86,Al Adalah,https://sofifa.com/player/191437/ali-al-mazaidi/20/159586,62,160000,3000,Medium/Medium,SUB,14,0,0,0,0,Not Provided,12,16,14,16,47,33,12,16,14
A. Al Meqran,Abdullah Al Meqran,245494,22,11/26/96,Saudi Arabia,176,Normal,71,Al Raed,https://sofifa.com/player/245494/abdullah-al-meqran/20/159586,53,90000,3000,Medium/Medium,SUB,14,53,44,56,21,Not Provided,51,53,39,56,46,57,53,19,14
A. Al Mutairi,Abdullah Saud Al Mutairi,210805,33,7/1/86,Saudi Arabia,174,Lean,61,Al Fayha,https://sofifa.com/player/210805/abdullah-saud-al-mutairi/20/159586,64,270000,5000,Medium/Low,SUB,10,58,62,67,22,Finesse Shot,68,66,62,65,62,67,54,21,19
A. Al Najai,Ahmad Al Najai,236733,24,1/18/95,Saudi Arabia,170,Lean,65,Abha Club,https://sofifa.com/player/236733/ahmad-al-najai/20/159586,60,240000,3000,Medium/Medium,SUB,5,46,54,60,59,Not Provided,61,59,56,62,47,61,51,62,59
A. Al Najjar,Ammar Siraj Y Al Najjar,238055,22,2/24/97,Saudi Arabia,175,Lean,68,Abha Club,https://sofifa.com/player/238055/ammar-al-najjar/20/159586,61,400000,3000,High/Medium,RW,31,56,57,63,44,Not Provided,61,62,57,63,59,56,57,42,36
A. Al Nashi,Abdulaziz Al Nashi,236002,31,7/8/87,Saudi Arabia,176,Lean,69,Al Hazem,https://sofifa.com/player/236002/abdulaziz-al-nashi/20/159586,60,160000,2000,Medium/High,SUB,11,39,51,55,56,Injury Prone,62,54,59,53,47,76,39,60,54
A. Al Nazera,Ahmed Al Nazera,214007,26,2/7/93,Saudi Arabia,170,Normal,69,Al Adalah,https://sofifa.com/player/214007/ahmed-al-nazera/20/159586,61,325000,4000,Medium/Low,LM,7,58,61,62,27,Finesse Shot,64,62,60,61,64,62,59,21,19
A. Al Nemer,Ali Al Nemer,242221,27,8/25/91,Saudi Arabia,173,Normal,60,Al Wehda,https://sofifa.com/player/242221/ali-al-nemer/20/159586,64,525000,6000,Medium/Medium,SUB,16,53,62,67,43,Not Provided,67,68,61,64,52,57,56,43,38
A. Al Obaid,Abdulrahman Al Obaid,228627,26,4/30/93,Saudi Arabia,171,Lean,64,Al Nassr,https://sofifa.com/player/228627/abdulrahman-al-obaid/20/159586,66,700000,10000,High/Medium,LB,13,59,64,64,59,Inflexible,65,60,60,65,71,66,69,62,59
A. Al Obud,Abdulrahman Al Obud,238043,24,6/10/95,Saudi Arabia,174,Normal,70,Al Ittihad,https://sofifa.com/player/238043/abdulrahman-al-obud/20/159586,61,325000,5000,Medium/Medium,SUB,23,58,49,64,19,Not Provided,55,64,39,62,55,57,54,18,12
A. Al Owayshir,Abdullah Hussain Al Oaisher,209572,28,5/13/91,Saudi Arabia,185,Lean,73,Al Shabab,https://sofifa.com/player/209572/abdullah-al-owayshir/20/159586,62,250000,5000,Medium/Medium,SUB,30,0,0,0,0,"Diver, Giant Throw-in",29,18,21,21,45,70,15,16,19
A. Al Qahtani,Abdulkarim Ayidh Al Qahtani,232680,26,2/9/93,Saudi Arabia,171,Lean,65,Al Fayha,https://sofifa.com/player/232680/abdulkarim-al-qahtani/20/159586,64,525000,5000,High/Medium,LW,12,58,59,68,40,Not Provided,64,69,62,67,67,61,61,40,37
A. Al Qarni,Assaf Ahmed Al Qarni,210184,35,4/2/84,Saudi Arabia,183,Normal,81,Al Ittihad,https://sofifa.com/player/210184/assaf-ahmed-al-qarni/20/159586,64,120000,4000,Medium/Medium,SUB,12,0,0,0,0,Second Wind,21,15,18,20,44,43,11,13,14
A. Al Riou,Abdulrahman Khalid Al Rio,235479,25,5/15/94,Saudi Arabia,189,Normal,70,Al Wehda,https://sofifa.com/player/235479/abdulrahman-al-riou/20/159586,58,140000,3000,Medium/Medium,RES,12,28,46,52,58,Not Provided,49,49,45,50,21,73,25,60,58
A. Al Ruhaili,Ahmad Al Ruhaili,225061,24,10/6/94,Saudi Arabia,189,Normal,88,Al Raed,https://sofifa.com/player/225061/ahmad-al-ruhaili/20/159586,59,160000,2000,Medium/Medium,SUB,66,0,0,0,0,Not Provided,25,19,23,16,39,73,14,19,11
A. Al Safri,Abdulrahman Al Safri,251660,26,3/31/93,Saudi Arabia,177,Lean,69,Damac FC,https://sofifa.com/player/251660/abdulrahman-al-safri/20/159586,58,140000,3000,Medium/Medium,RES,29,34,55,59,54,Not Provided,61,58,58,59,45,61,33,56,54
A. Al Sahabi,Aqeel Al Sahabi,210783,32,3/15/87,Saudi Arabia,180,Lean,67,Al Faisaly,https://sofifa.com/player/210783/aqeel-al-sahabi/20/159586,65,350000,6000,Medium/Medium,SUB,21,33,46,58,64,Inflexible,52,57,44,56,45,77,23,63,62
A. Al Saleh,Abdullah Al Saleh,210791,29,10/15/89,Saudi Arabia,184,Lean,78,Ettifaq FC,https://sofifa.com/player/210791/abdullah-al-saleh/20/159586,61,180000,4000,Medium/Medium,SUB,30,0,0,0,0,Swerve Pass,27,15,25,17,47,60,19,17,14
A. Al Salem,Abdullah Al Salem,211395,26,12/19/92,Saudi Arabia,184,Lean,74,Al Nassr,https://sofifa.com/player/211395/abdullah-al-salem/20/159586,66,800000,11000,Medium/Low,SUB,71,65,60,66,54,Finesse Shot,66,66,59,67,67,73,65,55,53
